Title,Price,Tags,Platforms
Barotrauma,A$ 37.46,"Co-op, Multiplayer, Survival, Submarine","win, mac, linux"
Sun Haven,A$ 28.76,"Farming Sim, Pixel Graphics, Multiplayer, Life Sim","win, mac"
Munchkin Digital,A$ 21.50,"Dragons, Funny, Old School, Adventure","win, mac"
Terraformers,A$ 23.99,"Singleplayer, Sci-fi, Space, Choices Matter","win, mac, linux"
The Last Spell,A$ 32.85,"Turn-Based, 2D, Tactical, Singleplayer",win
Boneraiser Minions,A$ 6.00,"Action Roguelike, Bullet Hell, Pixel Graphics, Roguelite",win
Transport Fever 2,A$ 29.25,"Simulation, Strategy, Management, City Builder","win, mac, linux"
PARANORMASIGHT: The Seven Mysteries of Honjo,A$ 23.96,"Adventure, Simulation, Visual Novel, Anime",win
Call of Duty®: Black Ops Cold War,A$ 49.97,"Action, FPS, Shooter, Zombies",win
Contraband Police,A$ 25.96,"Open World, Action, Automobile Sim, First-Person",win
Hotel Renovator,A$ 28.76,"Simulation, Adventure, Design & Illustration, Casual",win
Citizens: Far Lands - Prologue,Free To Play,"Time Management, Turn-Based Tactics, City Builder, Colony Sim",win
Daydream: Prologue,Free To Play,"Puzzle Platformer, Puzzle, Atmospheric, Platformer",win
King Of The Castle,A$ 7.95,"Strategy, Story Rich, Fantasy, Choices Matter",win
Phantom Brigade,A$ 43.95,"Strategy, Mechs, Turn-Based Tactics, Turn-Based",win
Destiny 2: Legacy Collection (2023),A$ 89.95,"Adventure, Action, Free to Play",win
Destiny 2: Lightfall + Annual Pass,A$ 149.95,"Action, Adventure, Free to Play, Sci-fi",win
Destiny 2: Lightfall,A$ 74.95,"Adventure, Action, Free to Play, FPS",win
Limbus Company,Free To Play,"RPG, Lore-Rich, Strategy RPG, Turn-Based Tactics",win
In Sink: A Co-Op Escape Prologue,Free,"Online Co-Op, Casual, Escape Room, Puzzle",win
OCTOPATH TRAVELER II,A$ 84.95,"RPG, Turn-Based, JRPG, Party-Based RPG",win
Digimon World: Next Order,A$ 74.95,"RPG, Party-Based RPG, Simulation, JRPG",win
Like a Dragon: Ishin!,A$ 99.95,"Action, Adventure, Beat 'em up, Action-Adventure",win
Atomic Heart,A$ 89.95,"Horror, Puzzle, Mystery, Sexual Content",win
Atomic Heart,A$ 89.95,"Horror, Puzzle, Mystery, Sexual Content",win
Selene ~Apoptosis~,Free,"Sexual Content, Nudity, Visual Novel, Horror","win, mac, linux"
Returnal™,A$ 94.95,"Action, Roguelike, Bullet Hell, Singleplayer",win
Missing Hiker,Free To Play,"Horror, Free to Play, Thriller, Psychological Horror",win
United heist,Free,"Co-op Campaign, Puzzle, Adventure, Mystery",win
Hogwarts Legacy,A$ 89.95,"Magic, Fantasy, Open World, Singleplayer",win
Your Only Move Is HUSTLE,A$ 7.50,"2D Fighter, Turn-Based Strategy, Action, Strategy","win, linux"
X Invader: Prologue,Free To Play,"Action, Roguelike, Shooter, Action Roguelike",win
Treason,Free To Play,"FPS, PvP, Investigation, Mystery",win
Bloody Hell,Free,"Bullet Hell, Metroidvania, Twin Stick Shooter, Indie",win
Dead Space,A$ 89.95,"Horror, Third-Person Shooter, Sci-fi, Space",win
Crosshair V2,Free,Utilities,win
